Capteur,Date,Heure,totalIn,totalOut,averageBus,averageMotos,averagePL,averageVL,averageOther,averageSpeed
P10,2022/10/17,7,11,9,0.0,0.0,0.0,0.45,0.4,NaN
P10,2022/10/17,8,89,15,0.0,0.0,0.0,0.5384615384615384,0.23076923076923078,NaN
P10,2022/10/17,9,68,20,0.0,0.0,0.0,0.6590909090909091,0.2159090909090909,NaN
P10,2022/10/17,10,21,7,0.0,0.0,0.0,0.6785714285714286,0.14285714285714285,NaN
P10,2022/10/17,11,44,24,0.0,0.0,0.0,0.45588235294117646,0.4852941176470588,NaN
P10,2022/10/17,12,32,49,0.0,0.0,0.0,0.6419753086419753,0.2222222222222222,NaN
P10,2022/10/17,13,35,34,0.0,0.0,0.0,0.7681159420289855,0.15942028985507245,NaN
P10,2022/10/17,14,22,13,0.0,0.0,0.0,0.6571428571428571,0.2571428571428571,NaN
P10,2022/10/17,15,16,37,0.0,0.0,0.0,0.5471698113207547,0.3584905660377358,NaN
P10,2022/10/17,16,10,38,0.0,0.0,0.0,0.6666666666666666,0.22916666666666666,NaN
P10,2022/10/17,17,5,65,0.0,0.0,0.0,0.7142857142857143,0.07142857142857142,NaN
P10,2022/10/17,18,8,46,0.0,0.0,0.0,0.6666666666666666,0.1111111111111111,NaN
P10,2022/10/17,19,2,16,0.0,0.0,0.0,0.6666666666666666,0.05555555555555555,NaN
P10,2022/10/17,20,2,6,0.0,0.0,0.0,0.875,0.0,NaN
P10,2022/10/17,21,0,4,0.0,0.0,0.0,1.0,0.0,NaN
P10,2022/10/17,22,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/17,23,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/18,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/18,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/18,2,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/18,3,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/18,4,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/18,5,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/18,6,4,0,0.0,0.0,0.0,0.25,0.5,NaN
